Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
117976,False,100.0,False,4.56,370.0,Fingering
108893,False,114.0,True,4.65,400.0,Fingering
120905,False,115.0,True,4.85,405.0,Fingering
81518,True,75.0,True,4.42,645.0,Lace
46486,False,226.0,False,4.66,661.0,Sport
115978,False,100.0,True,4.92,465.0,Light Fingering
44511,False,65.0,False,4.7,400.0,Lace
325,False,100.0,False,4.56,230.0,Worsted
54161,False,113.0,False,4.68,230.0,Worsted
152740,False,100.0,True,4.36,458.0,Fingering
130021,False,114.0,True,4.91,400.0,Fingering
131110,False,100.0,False,4.79,387.0,Fingering
34164,False,114.0,False,4.77,205.0,Aran
526,False,113.0,False,4.61,1250.0,Lace
91423,False,135.0,True,4.84,510.0,Fingering
115867,False,50.0,True,4.78,95.0,Worsted
155491,False,100.0,True,4.48,435.0,Fingering
113763,False,100.0,True,4.68,437.0,Fingering
72759,False,100.0,True,4.87,463.0,Fingering
63493,True,,True,4.77,250.0,Sport
11361,False,125.0,False,4.71,202.0,Aran
3703,True,50.0,False,4.08,82.0,Aran
147490,False,100.0,True,4.84,435.0,Fingering
104828,False,100.0,True,4.71,475.0,Light Fingering
157214,False,100.0,True,4.54,357.0,Fingering
108502,False,100.0,True,4.75,440.0,Fingering
78027,False,100.0,True,4.7,437.0,Fingering
125218,False,115.0,True,4.86,378.0,Fingering
94117,False,100.0,True,4.87,464.0,Fingering
36897,False,50.0,False,4.37,145.0,Sport
104747,False,121.0,True,4.74,500.0,Fingering
50314,False,100.0,True,4.3,463.0,Light Fingering
19765,False,100.0,True,4.87,225.0,Sport
46915,False,100.0,False,4.67,459.0,Light Fingering
98571,False,100.0,True,4.62,437.0,Fingering
74504,False,100.0,True,4.83,400.0,Fingering
74959,False,100.0,False,4.77,460.0,Light Fingering
27482,True,100.0,False,4.74,400.0,Fingering
85301,True,106.0,True,4.7,420.0,Fingering
32309,False,100.0,False,4.71,240.0,Worsted
152278,False,115.0,True,4.75,437.0,Fingering
66394,False,48.0,False,4.86,200.0,Fingering
74663,False,100.0,False,4.77,395.0,Fingering
10839,False,115.0,True,4.72,400.0,Fingering
120100,False,100.0,True,4.86,462.0,Light Fingering
75351,False,100.0,True,4.82,459.0,Light Fingering
101491,False,100.0,False,4.7,875.0,Lace
131958,False,115.0,False,4.89,420.0,Fingering
103209,False,100.0,True,4.71,220.0,DK
148546,False,115.0,True,4.93,430.0,Fingering
121650,False,100.0,True,4.85,400.0,Fingering
9492,False,100.0,False,4.85,328.0,Sport
86397,False,100.0,False,4.53,437.0,Fingering
106501,False,100.0,True,4.79,270.0,DK
57082,False,100.0,False,4.78,400.0,Fingering
26423,True,113.0,True,4.51,450.0,Fingering
